outcome,team_trophies,opp_trophies,trophy_diff,team_avg_elixir,opp_avg_elixir,elixir_diff,team_avg_level,opp_avg_level,level_diff,team_card_ids,opp_card_ids,exp_level,battle_count,hour_of_day,battle_time,player_tag,team_crowns,opp_crowns,team_deck_meta_score,opp_deck_meta_score,deck_meta_score_diff,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,player_win_rate,trophy_diff_category
1,13620.0,13619.0,1.0,3.125,3.625,-0.5,13.25,12.25,1.0,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000012, 26000062, 26000014, 26000013, 28000005, 26000043, 28000011, 26000021]",72,16908,11,20260410T110430.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.75,-1.0,0.48,equal
1,13590.0,13590.0,0.0,3.125,2.875,0.25,13.25,12.875,0.375,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000010, 26000038, 26000006, 28000017, 28000015, 26000032, 26000014, 27000004]",72,16908,10,20260410T105929.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.125,-0.375,0.48,equal
1,13560.0,13560.0,0.0,3.125,4.25,-1.125,13.25,12.875,0.375,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000012, 26000020, 26000022, 27000003, 26000032, 28000007, 26000041, 28000001]",72,16908,10,20260410T105537.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.125,-0.375,0.48,equal
1,13530.0,13530.0,0.0,3.125,4.25,-1.125,13.25,11.125,2.125,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000017, 26000022, 26000055, 28000026, 26000083, 28000006, 26000043, 26000048]",72,16908,10,20260410T104859.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,2.875,-2.125,0.48,equal
0,13560.0,13560.0,0.0,3.125,4.125,-1.0,13.25,11.625,1.625,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000011, 26000062, 26000055, 26000040, 28000001, 26000021, 26000007, 26000050]",72,16908,10,20260409T104026.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,2.375,-1.625,0.48,equal
0,13590.0,13590.0,0.0,3.125,3.875,-0.75,13.25,13.625,-0.375,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000047, 26000065, 26000056, 26000040, 28000003, 26000041, 28000001, 26000058]",72,16908,10,20260409T103523.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,0.375,0.375,0.48,equal
1,13560.0,13560.0,0.0,3.125,3.75,-0.625,13.25,10.5,2.75,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000007, 26000069, 26000012, 28000002, 26000067, 26000048, 28000007, 28000001]",72,16908,6,20260409T063026.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,3.5,-2.75,0.48,equal
1,13530.0,13530.0,0.0,3.125,2.75,0.375,13.25,10.75,2.5,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000037, 26000006, 26000012, 28000006, 26000046, 28000009, 26000031, 28000002]",72,16908,6,20260409T062712.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,3.25,-2.5,0.48,equal
1,13501.0,13500.0,1.0,3.125,3.625,-0.5,13.25,12.0,1.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000063, 26000008, 26000067, 26000048, 28000012, 26000068, 28000002, 28000001]",72,16908,6,20260409T061839.000Z,#GLC0PV99,3,0,0.5,0.5,0.0,0.75,2.0,-1.25,0.48,equal
0,13531.0,13530.0,1.0,3.125,3.0,0.125,13.25,13.625,-0.375,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[28000017, 26000065, 27000006, 28000003, 26000013, 26000010, 26000031, 27000013]",72,16908,6,20260409T061542.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,0.375,0.375,0.48,equal
0,13560.0,13564.0,-4.0,3.125,3.5,-0.375,13.25,13.5,-0.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000049, 26000072, 26000056, 26000004, 26000040, 28000008, 28000000, 26000102]",72,16908,6,20260409T061033.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,0.5,0.25,0.48,equal
0,13589.0,13593.0,-4.0,3.125,3.625,-0.5,13.25,12.5,0.75,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[28000008, 26000021, 26000039, 26000025, 26000032, 28000000, 27000003, 26000034]",72,16908,21,20260408T214327.000Z,#GLC0PV99,0,2,0.5,0.5,0.0,0.75,1.5,-0.75,0.48,equal
