outcome,trophy_diff,elixir_diff,level_diff,deck_meta_score_diff,team_avg_elixir,opp_avg_elixir,team_avg_level,opp_avg_level,team_deck_meta_score,opp_deck_meta_score,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,exp_level,battle_count,player_win_rate,hour_of_day,trophy_diff_category
1,,1.5,-2.0,0.04458732329134596,4.625,3.125,9.625,11.625,0.5230524752729748,0.47846515198162887,4.375,2.375,2.0,62,3946,0.6086956521739131,21,unknown
0,,0.625,-3.375,-0.0013784099570963715,4.625,4.0,9.625,13.0,0.5230524752729748,0.5244308852300712,4.375,1.0,3.375,62,3946,0.6086956521739131,21,unknown
1,,0.5,-1.75,0.027520200573603215,4.625,4.125,9.625,11.375,0.5230524752729748,0.4955322746993716,4.375,2.625,1.75,62,3946,0.6086956521739131,21,unknown
0,,1.25,-2.0,-0.004750262833264962,4.625,3.375,9.625,11.625,0.5230524752729748,0.5278027381062398,4.375,2.375,2.0,62,3946,0.6086956521739131,21,unknown
1,,1.375,-1.875,0.02640256154309495,4.625,3.25,9.625,11.5,0.5230524752729748,0.4966499137298799,4.375,2.5,1.875,62,3946,0.6086956521739131,21,unknown
0,,1.75,-1.625,0.007275759939394222,4.625,2.875,9.625,11.25,0.5230524752729748,0.5157767153335806,4.375,2.75,1.625,62,3946,0.6086956521739131,21,unknown
0,-19.0,1.0,1.375,0.03407020270106448,4.125,3.125,14.125,12.75,0.5223314668897441,0.4882612641886796,-0.125,1.25,-1.375,67,7432,0.6521739130434783,12,lower
1,17.0,0.0,2.25,0.050355664203365014,4.125,4.125,14.125,11.875,0.5223314668897441,0.47197580268637906,-0.125,2.125,-2.25,67,7432,0.6521739130434783,12,higher
0,-23.0,0.25,2.25,0.03721161902817971,4.125,3.875,14.125,11.875,0.5223314668897441,0.48511984786156437,-0.125,2.125,-2.25,67,7432,0.6521739130434783,9,lower
0,-23.0,0.5,3.0,0.02518204104596411,4.125,3.625,14.125,11.125,0.5223314668897441,0.49714942584377997,-0.125,2.875,-3.0,67,7432,0.6521739130434783,9,lower
0,15.0,0.125,3.375,0.014386702262155326,4.125,4.0,14.125,10.75,0.5223314668897441,0.5079447646275888,-0.125,3.25,-3.375,67,7432,0.6521739130434783,9,higher
